Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR,Recession
6/30/2014,0.02,,0.04,0.07,0.11,0.47,0.88,1.62,2.13,2.53,3.08,3.34,0
5/31/2014,0.05,,0.04,0.06,0.1,0.37,0.79,1.54,2.06,2.48,3.05,3.33,0
4/30/2014,0.02,,0.03,0.05,0.11,0.42,0.87,1.69,2.25,2.67,3.22,3.47,0
3/31/2014,0.03,,0.05,0.07,0.13,0.44,0.9,1.73,2.3,2.73,3.31,3.56,0
2/28/2014,0.04,,0.05,0.08,0.12,0.33,0.69,1.51,2.13,2.66,3.31,3.59,0
1/31/2014,0.03,,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67,3.35,3.61,0
12/31/2013,0.01,,0.07,0.1,0.13,0.38,0.78,1.75,2.45,3.04,3.72,3.96,0
11/30/2013,0.05,,0.06,0.11,0.13,0.28,0.56,1.37,2.1,2.75,3.54,3.82,0
10/31/2013,0.03,,0.04,0.08,0.1,0.31,0.57,1.31,1.95,2.57,3.33,3.63,0
9/30/2013,0.03,,0.02,0.04,0.1,0.33,0.63,1.39,2.02,2.64,3.41,3.69,0
8/31/2013,0.02,,0.03,0.05,0.13,0.39,0.79,1.62,2.24,2.78,3.46,3.7,0
7/31/2013,0.03,,0.04,0.08,0.11,0.31,0.61,1.38,2,2.6,3.34,3.64,0
6/30/2013,0.02,,0.04,0.1,0.15,0.36,0.66,1.41,1.96,2.52,3.22,3.52,0
5/31/2013,0.03,,0.04,0.07,0.14,0.3,0.52,1.05,1.55,2.16,2.95,3.3,0
4/30/2013,0.03,,0.05,0.09,0.11,0.22,0.32,0.68,1.11,1.7,2.49,2.88,0
3/31/2013,0.04,,0.07,0.11,0.14,0.25,0.36,0.77,1.24,1.87,2.71,3.1,0
2/28/2013,0.07,,0.11,0.13,0.17,0.25,0.36,0.77,1.26,1.89,2.71,3.1,0
1/31/2013,0.04,,0.07,0.12,0.15,0.27,0.42,0.88,1.38,2.02,2.79,3.17,0
12/31/2012,0.02,,0.05,0.11,0.16,0.25,0.36,0.72,1.18,1.78,2.54,2.95,0
11/30/2012,0.11,,0.08,0.13,0.18,0.25,0.34,0.61,1.04,1.62,2.37,2.81,0
10/31/2012,0.09,,0.11,0.16,0.18,0.3,0.38,0.72,1.14,1.72,2.46,2.85,0
9/30/2012,0.06,,0.1,0.14,0.17,0.23,0.31,0.62,1.04,1.65,2.42,2.82,0
8/31/2012,0.09,,0.09,0.14,0.16,0.22,0.3,0.59,1.01,1.57,2.29,2.68,0
7/31/2012,0.07,,0.11,0.14,0.16,0.23,0.3,0.6,0.98,1.51,2.21,2.56,0
6/30/2012,0.04,,0.09,0.16,0.21,0.33,0.41,0.72,1.11,1.67,2.38,2.76,0
5/31/2012,0.03,,0.07,0.14,0.18,0.27,0.35,0.67,1.03,1.59,2.27,2.67,0
4/30/2012,0.07,,0.1,0.15,0.2,0.27,0.38,0.82,1.33,1.95,2.73,3.12,0
3/31/2012,0.05,,0.07,0.15,0.19,0.33,0.51,1.04,1.61,2.23,3,3.35,0
2/29/2012,0.08,,0.08,0.13,0.18,0.3,0.43,0.87,1.39,1.98,2.73,3.08,0
1/31/2012,0.04,,0.06,0.08,0.13,0.22,0.3,0.71,1.24,1.83,2.59,2.94,0
12/31/2011,0.01,,0.02,0.06,0.12,0.25,0.36,0.83,1.35,1.89,2.57,2.89,0
11/30/2011,0.02,,0.01,0.06,0.12,0.25,0.41,0.96,1.53,2.08,2.77,3.06,0
10/31/2011,0.02,,0.01,0.06,0.12,0.25,0.41,0.99,1.58,2.17,2.89,3.16,0
9/30/2011,0.02,,0.02,0.06,0.13,0.25,0.42,0.96,1.43,1.92,2.66,2.9,0
8/31/2011,0.01,,0.02,0.05,0.1,0.2,0.33,0.96,1.56,2.23,3.19,3.6,0
7/31/2011,0.16,,0.1,0.16,0.2,0.36,0.55,1.35,2.09,2.82,3.77,4.12,0
6/30/2011,0.01,,0.03,0.1,0.19,0.45,0.81,1.76,2.5,3.18,4.09,4.38,0
5/31/2011,0.04,,0.06,0.12,0.18,0.45,0.79,1.68,2.37,3.05,3.91,4.22,0
4/30/2011,0.02,,0.04,0.11,0.22,0.61,1.01,1.97,2.66,3.32,4.15,4.4,0
3/31/2011,0.05,,0.09,0.17,0.3,0.8,1.29,2.24,2.9,3.47,4.29,4.51,0
2/28/2011,0.13,,0.15,0.18,0.25,0.69,1.18,2.13,2.82,3.42,4.25,4.49,0
1/31/2011,0.15,,0.15,0.17,0.26,0.58,0.98,1.95,2.71,3.42,4.33,4.58,0
12/31/2010,0.07,,0.12,0.19,0.29,0.61,1.02,2.01,2.71,3.3,4.13,4.34,0
11/30/2010,0.18,,0.17,0.21,0.27,0.45,0.72,1.47,2.16,2.81,3.8,4.12,0
10/31/2010,0.14,,0.12,0.17,0.22,0.34,0.51,1.17,1.89,2.63,3.64,3.99,0
9/30/2010,0.14,,0.16,0.19,0.27,0.42,0.64,1.27,1.91,2.53,3.38,3.69,0
8/31/2010,0.16,,0.14,0.19,0.25,0.47,0.72,1.33,1.92,2.47,3.23,3.52,0
7/31/2010,0.14,,0.15,0.2,0.29,0.55,0.84,1.6,2.3,2.94,3.74,3.98,0
